county,fac_no,fac_name,fac_addr,audittype,userclass,deadline_start_date,deadline_end_date,waste_no,waste_name,waste_source,reu_purp_notes,waste_reu_value,totalqty_unit
屏東縣,T55A0129,彭玉山畜牧場,(911)屏東縣竹田鄉和平路六○巷三號,公告/附表,內政部(營造業),20240926,20290926,R-0114,果菜殘渣,果菜批發市場所產生之果菜殘渣(農業部),直接供畜禽食用,40,公噸/月
屏東縣,T55A0129,彭玉山畜牧場,(911)屏東縣竹田鄉和平路六○巷三號,公告/附表,內政部(營造業),20240926,20290926,R-0120,植物性廢渣,公告可直接再利用：食品及飲料製造業在生產製程中所產生之植物性廢渣，其廢渣不得經化學處理，且不得含廢水處理之污泥。但依相關法規認定為有害事業廢棄物者，不適用之。(經濟部),飼料,40,公噸/月
屏東縣,T55A0129,彭玉山畜牧場,(911)屏東縣竹田鄉和平路六○巷三號,公告/附表,內政部(營造業),20240926,20290926,R-0701,廢木材,"公告可直接再利用；事業產生之廢木材（板、屑、木質電桿、木質橫擔或枕木）。但依相關法規認定為有害事業廢棄物者，不適用之。(經濟部) 事業廢棄物來源：事業產生之廢木材（板、屑）(內政部(營造業))",燃料,35,公噸/月
屏東縣,T55A0129,彭玉山畜牧場,(911)屏東縣竹田鄉和平路六○巷三號,公告/附表,內政部(營造業),20240926,20290926,R-0106,廚餘,事業產生之廚餘。但依相關法規認定為有害事業廢棄物者，不適用之。(共通性),飼料,338,公噸/月
屏東縣,T55A0129,彭玉山畜牧場,(911)屏東縣竹田鄉和平路六○巷三號,公告/附表,內政部(營造業),20240926,20290926,R-0119,動物性廢渣,公告可直接再利用：食品製造業在食品加工製程產生之動物性廢渣，其廢渣不得經化學處理，且不得含廢水處理之污泥。但依相關法規認定為有害事業廢棄物者，不適用之。(經濟部),飼料,20,公噸/月
桃園市,H4504241,福佑木業有限公司,(326)桃園市楊梅區瑞坪里梅獅路二段六一六巷一號,公告/附表,內政部(營造業),20240910,20290910,R-0701,廢木材,"公告可直接再利用：事業產生之廢木材（板、屑、木質電桿、木質橫擔或枕木）。但依相關法規認定為有害事業廢棄物者，不適用之。(環境部逕依通傳會) 公告可直接再利用；事業產生之廢木材（板、屑、木質電桿、木質橫擔或枕木）。但依相關法規認定為有害事業廢棄物者，不適用之。(經濟部,環境部逕依經濟部) 事業廢棄物來源：事業產生之廢木材（板、屑）(內政部(營造業),環境部逕依內政部(營造業)) 事業產生之廢木材（板、屑）(環境部逕依交通部)",燃料原料,1700,公噸/月
臺南市,D0002664,大楹工程有限公司,臺南市七股區新篤加段一○二四地號,公告/附表,內政部(營造業),20250316,20300316,R-0503,營建混合物,"工程施工建造、建築拆除、裝修工程及整地刨除所產生之事業廢棄物 (內政部(營造業))",營建工程材料,3600,公噸/月
新北市,F1517955,屈原實業有限公司五股廠,(248)新北市五股區凌雲路二段五八號,公告/附表,內政部(營造業),20220714,20270714,R-0701,廢木材,公告可直接再利用；事業產生之廢木材（板、屑、木質電桿、木質橫擔或枕木）。但依相關法規認定為有害事業廢棄物者，不適用之。(經濟部),木製品原料,2400,公噸/月
新北市,F1517955,屈原實業有限公司五股廠,(248)新北市五股區凌雲路二段五八號,公告/附表,內政部(營造業),20220714,20270714,R-0701,廢木材,公告可直接再利用；事業產生之廢木材（板、屑、木質電桿、木質橫擔或枕木）。但依相關法規認定為有害事業廢棄物者，不適用之。(經濟部),燃料原料,2400,公噸/月
新北市,F1517955,屈原實業有限公司五股廠,(248)新北市五股區凌雲路二段五八號,公告/附表,內政部(營造業),20220714,20270714,R-0701,廢木材,事業廢棄物來源：事業產生之廢木材（板、屑）(內政部(營造業)),木製品原料,2400,公噸/月
嘉義市,I26B8935,伍營有限公司,(600)嘉義市東區後湖里保忠一街五○一號,公告/附表,內政部(營造業),20241108,20291108,R-0201,廢塑膠,事業產生之廢塑膠。但依相關法規認定為有害事業廢棄物或醫療用廢塑膠（點滴輸注液容器、輸液導管、廢針筒、廢藥水桶）者，不適用之。(共通性),塑膠製品原料,3000,公噸/月
嘉義市,I26B8935,伍營有限公司,(600)嘉義市東區後湖里保忠一街五○一號,公告/附表,內政部(營造業),20241108,20291108,R-0701,廢木材,"公告可直接再利用：事業產生之廢木材（板、屑、木質電桿、木質橫擔或枕木）。但依相關法規認定為有害事業廢棄物者，不適用之。(通傳會) 公告可直接再利用；事業產生之廢木材（板、屑、木質電桿、木質橫擔或枕木）。但依相關法規認定為有害事業廢棄物者，不適用之。(經濟部) 事業廢棄物來源：事業產生之廢木材（板、屑）(內政部(營造業)) 事業產生之廢木材（板、屑）(交通部)",木製品原料,2000,公噸/月
嘉義市,I26B8935,伍營有限公司,(600)嘉義市東區後湖里保忠一街五○一號,公告/附表,內政部(營造業),20241108,20291108,R-0701,廢木材,"公告可直接再利用：事業產生之廢木材（板、屑、木質電桿、木質橫擔或枕木）。但依相關法規認定為有害事業廢棄物者，不適用之。(通傳會) 公告可直接再利用；事業產生之廢木材（板、屑、木質電桿、木質橫擔或枕木）。但依相關法規認定為有害事業廢棄物者，不適用之。(經濟部) 事業廢棄物來源：事業產生之廢木材（板、屑）(內政部(營造業)) 事業產生之廢木材（板、屑）(交通部)",燃料原料,2000,公噸/月
臺中市,B0209961,昊昇能源科技股份有限公司,(434)臺中市龍井區忠和里西濱路三段二一七號,公告/附表,內政部(營造業),20241217,20291217,R-0701,廢木材,公告可直接再利用；事業產生之廢木材（板、屑、木質電桿、木質橫擔或枕木）。但依相關法規認定為有害事業廢棄物者，不適用之。(經濟部),固體再生燃料原料,500,公噸/月
臺中市,B0209961,昊昇能源科技股份有限公司,(434)臺中市龍井區忠和里西濱路三段二一七號,公告/附表,內政部(營造業),20241217,20291217,R-0701,廢木材,公告可直接再利用；事業產生之廢木材（板、屑、木質電桿、木質橫擔或枕木）。但依相關法規認定為有害事業廢棄物者，不適用之。(經濟部),燃料原料,2000,公噸/月
臺中市,B0209961,昊昇能源科技股份有限公司,(434)臺中市龍井區忠和里西濱路三段二一七號,公告/附表,內政部(營造業),20241217,20291217,R-0701,廢木材,事業廢棄物來源：事業產生之廢木材（板、屑）(內政部(營造業)),木製品原料,1000,公噸/月
